Gene	Gene_ID	index
AMY2B	ENSG00000240038	537
AMZ1	ENSG00000174945	538
ANAPC1	ENSG00000153107	539
ANAPC2	ENSG00000176248	540
ANAPC4	ENSG00000053900	541
ANAPC5	ENSG00000089053	542
ANAPC7	ENSG00000196510	543
ANAPC10	ENSG00000164162	544
ANAPC11	ENSG00000141552	545
ANAPC13	ENSG00000129055	546
ANAPC15	ENSG00000110200	547
ANAPC16	ENSG00000166295	548
ANG	ENSG00000214274	549
ANGEL1	ENSG00000013523	550
ANGEL2	ENSG00000174606	551
ANGPT1	ENSG00000154188	552
ANGPT2	ENSG00000091879	553
ANGPTL1	ENSG00000116194	554
ANGPTL2	ENSG00000136859	555
ANGPTL3	ENSG00000132855	556
ANGPTL4	ENSG00000167772	557
ANGPTL6	ENSG00000130812	558
ANGPTL7	ENSG00000171819	559
ANK1	ENSG00000029534	560
ANK2	ENSG00000145362	561
ANKAR	ENSG00000151687	562
ANKDD1A	ENSG00000166839	563
ANKEF1	ENSG00000132623	564
ANKFN1	ENSG00000153930	565
ANKFY1	ENSG00000185722	566
ANKH	ENSG00000154122	567
ANKHD1	ENSG00000131503	568
ANKIB1	ENSG00000001629	569
ANKK1	ENSG00000170209	570
ANKLE1	ENSG00000160117	571
ANKLE2	ENSG00000176915	572
ANKMY1	ENSG00000144504	573
ANKMY2	ENSG00000106524	574
ANKRD1	ENSG00000148677	575
ANKRD2	ENSG00000165887	576
ANKRD6	ENSG00000135299	577
ANKRD7	ENSG00000106013	578
ANKRD10	ENSG00000088448	579
ANKRD11	ENSG00000167522	580
ANKRD12	ENSG00000101745	581
ANKRD13A	ENSG00000076513	582
ANKRD13B	ENSG00000198720	583
ANKRD13C	ENSG00000118454	584
ANKRD16	ENSG00000134461	585
ANKRD17	ENSG00000132466	586
ANKRD18A	ENSG00000180071	587
ANKRD18B	ENSG00000230453	588
ANKRD20A1	ENSG00000196774	589
ANKRD20A4	ENSG00000172014	590
ANKRD22	ENSG00000152766	591
ANKRD23	ENSG00000163126	592
ANKRD24	ENSG00000089847	593
ANKRD26	ENSG00000107890	594
ANKRD27	ENSG00000105186	595
ANKRD28	ENSG00000206560	596
ANKRD29	ENSG00000154065	597
ANKRD30A	ENSG00000148513	598
ANKRD30B	ENSG00000180777	599
ANKRD30BL	ENSG00000163046	600
ANKRD31	ENSG00000145700	601
ANKRD33	ENSG00000167612	602
ANKRD34A	ENSG00000181039	603
ANKRD34B	ENSG00000189127	604
ANKRD35	ENSG00000198483	605
ANKRD36	ENSG00000135976	606
ANKRD36B	ENSG00000196912	607
ANKRD36C	ENSG00000174501	608
ANKRD37	ENSG00000186352	609
ANKRD39	ENSG00000213337	610
ANKRD40	ENSG00000154945	611
ANKRD42	ENSG00000137494	612
ANKRD44	ENSG00000065413	613
ANKRD45	ENSG00000183831	614
ANKRD49	ENSG00000168876	615
ANKRD50	ENSG00000151458	616
ANKRD52	ENSG00000139645	617
ANKRD53	ENSG00000144031	618
ANKRD54	ENSG00000100124	619
ANKRD55	ENSG00000164512	620
ANKRD60	ENSG00000124227	621
ANKRD62	ENSG00000181626	622
ANKS1A	ENSG00000064999	623
ANKS1B	ENSG00000185046	624
ANKS3	ENSG00000168096	625
ANKS4B	ENSG00000175311	626
ANKS6	ENSG00000165138	627
ANKUB1	ENSG00000206199	628
ANKZF1	ENSG00000163516	629
ANLN	ENSG00000011426	630
ANO1	ENSG00000131620	631
ANO2	ENSG00000047617	632
ANO3	ENSG00000134343	633
ANO4	ENSG00000151572	634
ANO5	ENSG00000171714	635
ANO6	ENSG00000177119	636
ANO7	ENSG00000146205	637
ANO8	ENSG00000074855	638
ANO9	ENSG00000185101	639
ANO10	ENSG00000160746	640
ANP32A	ENSG00000140350	641
ANP32B	ENSG00000136938	642
ANP32D	ENSG00000139223	643
ANP32E	ENSG00000143401	644
ANPEP	ENSG00000166825	645
ANTXR1	ENSG00000169604	646
ANTXR2	ENSG00000163297	647
ANXA1	ENSG00000135046	648
ANXA2	ENSG00000182718	649
ANXA2R	ENSG00000177721	650
ANXA3	ENSG00000138772	651
ANXA4	ENSG00000196975	652
ANXA5	ENSG00000164111	653
ANXA6	ENSG00000197043	654
ANXA7	ENSG00000138279	655
ANXA8	ENSG00000165390	656
ANXA8L1	ENSG00000150165	657
ANXA9	ENSG00000143412	658
ANXA10	ENSG00000109511	659
ANXA11	ENSG00000122359	660
ANXA13	ENSG00000104537	661
AOC1	ENSG00000002726	662
AOC2	ENSG00000131480	663
AOC3	ENSG00000131471	664
AOX1	ENSG00000138356	665
AP1AR	ENSG00000138660	666
AP1B1	ENSG00000100280	667
AP1G1	ENSG00000166747	668
AP1G2	ENSG00000213983	669
AP1M1	ENSG00000072958	670
AP1M2	ENSG00000129354	671
AP1S1	ENSG00000106367	672
AP1S2	ENSG00000182287	673
AP2A1	ENSG00000196961	674
AP2A2	ENSG00000183020	675
AP2B1	ENSG00000006125	676
AP2M1	ENSG00000161203	677
AP2S1	ENSG00000042753	678
AP3B1	ENSG00000132842	679
AP3B2	ENSG00000103723	680
AP3D1	ENSG00000065000	681
AP3M2	ENSG00000070718	682
AP3S1	ENSG00000177879	683
AP3S2	ENSG00000157823	684
AP4B1	ENSG00000134262	685
AP4E1	ENSG00000081014	686
AP4M1	ENSG00000221838	687
AP4S1	ENSG00000100478	688
AP5B1	ENSG00000254470	689
AP5M1	ENSG00000053770	690
AP5S1	ENSG00000125843	691
AP5Z1	ENSG00000242802	692
APAF1	ENSG00000120868	693
APBA1	ENSG00000107282	694
APBA2	ENSG00000034053	695
APBA3	ENSG00000011132	696
APBB1	ENSG00000166313	697
APBB1IP	ENSG00000077420	698
APBB2	ENSG00000163697	699
APBB3	ENSG00000113108	700
APC	ENSG00000134982	701
APC2	ENSG00000115266	702
APCDD1	ENSG00000154856	703
APCDD1L	ENSG00000198768	704
APCS	ENSG00000132703	705
APEH	ENSG00000164062	706
APEX1	ENSG00000100823	707
APEX2	ENSG00000169188	708
APH1A	ENSG00000117362	709
APH1B	ENSG00000138613	710
API5	ENSG00000166181	711
APIP	ENSG00000149089	712
APLF	ENSG00000169621	713
APLN	ENSG00000171388	714
APLNR	ENSG00000134817	715
APLP1	ENSG00000105290	716
APLP2	ENSG00000084234	717
APMAP	ENSG00000101474	718
APOA5	ENSG00000110243	719
APOBEC1	ENSG00000111701	720
APOBEC2	ENSG00000124701	721
APOBEC3A	ENSG00000128383	722
APOBEC3B	ENSG00000179750	723
APOBEC3C	ENSG00000244509	724
APOBEC3D	ENSG00000243811	725
APOBEC3F	ENSG00000128394	726
APOBEC3G	ENSG00000239713	727
APOBEC3H	ENSG00000100298	728
APOBEC4	ENSG00000173627	729
APOBR	ENSG00000184730	730
APOE	ENSG00000130203	731
APOH	ENSG00000091583	732
APOL1	ENSG00000100342	733
APOL2	ENSG00000128335	734
APOL3	ENSG00000128284	735
APOL4	ENSG00000100336	736
APOL5	ENSG00000128313	737
APOL6	ENSG00000221963	738
APOLD1	ENSG00000178878	739
APOM	ENSG00000204444	740
APOO	ENSG00000184831	741
APOOL	ENSG00000155008	742
APOPT1	ENSG00000256053	743
APP	ENSG00000142192	744
APPBP2	ENSG00000062725	745
APPL1	ENSG00000157500	746
APPL2	ENSG00000136044	747
APTX	ENSG00000137074	748
AQP1	ENSG00000240583	749
AQP3	ENSG00000165272	750
